Observer,Date,Time,Pig,With/To,Behavior,Location,Notes,GPS,Start,Stop
AJ,9/30/22,9:35:48 AM,Horatio,No Value,Sniff.obj,,sniffing white pig with black head not in study,,1,0
AJ,9/30/22,9:36:25 AM,Horatio,No Value,Yawn.not.contaig,,,,0,0
AJ,9/30/22,9:36:48 AM,Horatio,No Value,Wag.tail,,,,0,0
AJ,9/30/22,9:36:57 AM,Horatio,No Value,Snout.touch,,all black pig not in study,,0,0
AJ,9/30/22,9:38:52 AM,Horatio,No Value,Travel,,,,0,0
AJ,9/30/22,9:39:05 AM,Horatio,No Value,Drink,,,,0,0
AJ,9/30/22,9:40:00 AM,Horatio,No Value,Root,,,,0,0
AJ,9/30/22,9:40:29 AM,Horatio,No Value,Travel,,,,0,1
AJ,9/30/22,9:41:31 AM,Bates,No Value,Root,,,,1,0
AJ,9/30/22,9:42:07 AM,Bates,No Value,Wag.tail,,,,0,0
AJ,9/30/22,9:44:03 AM,Bates,No Value,Wag.tail,,,,0,0
AJ,9/30/22,9:45:44 AM,Bates,No Value,Travel,,,,0,0
AJ,9/30/22,9:46:48 AM,Bates,No Value,Root,,,,0,1
AJ,9/30/22,9:47:19 AM,Thomas,No Value,Root,,,,1,0
AJ,9/30/22,9:48:33 AM,Thomas,No Value,Wag.tail,,,,0,0
AJ,9/30/22,9:52:58 AM,Thomas,Wilbur,Gets.disp,,,,0,1
AJ,9/30/22,9:53:19 AM,Atlas,No Value,Root,,,,1,0
AJ,9/30/22,9:54:36 AM,Atlas,No Value,Travel,,,,0,0
AJ,9/30/22,9:57:48 AM,Atlas,No Value,Poop,,,,0,0
AJ,9/30/22,9:58:31 AM,Atlas,Bates,Attempt.disp,,,,0,1
AJ,9/30/22,9:59:45 AM,Dora,No Value,Rest,,,,1,0
AJ,9/30/22,10:01:41 AM,Dora,No Value,Root,,,,0,0
AJ,9/30/22,10:05:04 AM,Dora,No Value,Root,,,,0,1
AJ,9/30/22,10:05:40 AM,Rebel,No Value,Root,,,,1,0
AJ,9/30/22,10:05:52 AM,Rebel,No Value,Wag.tail,,,,0,0
AJ,9/30/22,10:10:45 AM,Rebel,No Value,Root,,,,0,1
AJ,9/30/22,10:13:42 AM,Imogen,No Value,Wag.tail,,,,1,0
AJ,9/30/22,10:14:27 AM,Imogen,No Value,Root,,,,0,0
AJ,9/30/22,10:14:48 AM,Imogen,No Value,Rest,,,,0,0
AJ,9/30/22,10:19:01 AM,Imogen,No Value,Rest,,,,0,1
AJ,9/30/22,10:19:45 AM,Wilbur,No Value,Root,,,,1,0
AJ,9/30/22,10:20:40 AM,Wilbur,No Value,Wag.tail,,,,0,0
AJ,9/30/22,10:22:38 AM,Wilbur,No Value,Travel,,,,0,0
AJ,9/30/22,10:23:08 AM,Wilbur,No Value,Rest,,,,0,0
AJ,9/30/22,10:25:09 AM,Wilbur,No Value,Rest,,,,0,1
AJ,9/30/22,10:32:20 AM,Bianca,No Value,Root,,,,1,0
AJ,9/30/22,10:32:37 AM,Bianca,No Value,Grunt,,,,0,0
AJ,9/30/22,10:32:47 AM,Bianca,No Value,Travel,,,,0,0
AJ,9/30/22,10:36:38 AM,Bianca,No Value,Sniff.obj,,sniffing an oreo pig not in study,,0,0
AJ,9/30/22,10:37:38 AM,Bianca,No Value,Wag.tail,,,,0,1
AJ,9/30/22,10:38:32 AM,Eleanor,No Value,Eat,,,,1,0
AJ,9/30/22,10:38:58 AM,Eleanor,No Value,Wag.tail,,,,0,0
AJ,9/30/22,10:39:08 AM,Eleanor,No Value,,,2 pigs sniffed her rear end. she didn’t react,,0,0
AJ,9/30/22,10:39:27 AM,Eleanor,No Value,Drink,,,,0,0
AJ,9/30/22,10:41:30 AM,Eleanor,No Value,Rest,,,,0,0
AJ,9/30/22,10:43:51 AM,Eleanor,No Value,Rest,,,,0,1
NS,9/16/22,8:36:18,Bates,No Value,Root,"30.015152,-97.307521",,,0,
NS,9/16/22,8:36:40,Bates,No Value,Co-feed,"30.014789,-97.307417",Eats next to Atlas,,0,
NS,9/16/22,8:37:12,Bates,No Value,,"30.014801,-97.307403",Eating hay,,0,
NS,9/16/22,8:38:21,Bates,No Value,Root,"30.015152,-97.307521",,,0,
NS,9/16/22,8:39:02,Bates,No Value,Get.disp,"30.014812,-97.307473",Black and whit roof with tusks and white tail tip,,0,
