Observer,Date,Time,Pig,PigID,Trauma,Group,Sex,With/To,Behavior,Location,Notes,Start,Stop
AJ,9/23/22,9:26:15 AM,Atlas,1,Y,Y,M,Georgie,Rest.proxim,,,0,1
AJ,9/23/22,9:26:28 AM,Bates,2,N,Y,M,Atlas,Rest.proxim,,,1,0
AJ,9/23/22,9:26:39 AM,Bates,2,N,Y,M,Dora,Rest.proxim,,,0,0
AJ,9/23/22,9:26:50 AM,Bates,2,N,Y,M,Georgie,Rest.proxim,,,0,0
AJ,9/23/22,9:30:13 AM,Bates,2,N,Y,M,No Value,Grunt,,,0,0
AJ,9/23/22,9:31:38 AM,Dora,5,Y,Y,F,Bates,Rest.proxim,,,1,0
AJ,9/23/22,9:32:06 AM,Dora,5,Y,Y,F,Georgie,Rest.proxim,,,0,0
AJ,9/23/22,9:32:20 AM,Dora,5,Y,Y,F,Atlas,Rest.proxim,,,0,0
AJ,9/23/22,9:43:17 AM,Imogen,11,N,Y,F,No Value,Nudge.ground ,,,1,0
AJ,9/23/22,9:43:37 AM,Imogen,11,N,Y,F,No Value,Travel,,,0,0
AJ,9/23/22,9:44:01 AM,Imogen,11,N,Y,F,No Value,Pee,,,0,0
AJ,9/23/22,9:44:09 AM,Imogen,11,N,Y,F,No Value,Gets.disp,,displaced by pig not in study see photo,0,0
AJ,9/23/22,9:44:46 AM,Imogen,11,N,Y,F,No Value,Rest,,resting by herself in  the trees,0,0
AJ,9/23/22,9:45:59 AM,Imogen,11,N,Y,F,No Value,Wag.tail,,,0,0
AJ,9/23/22,9:46:34 AM,Imogen,11,N,Y,F,No Value,Nudge.ground ,,,0,0
AJ,9/23/22,9:46:46 AM,Imogen,11,N,Y,F,No Value,Travel,,,0,0
AJ,9/23/22,9:46:54 AM,Imogen,11,N,Y,F,No Value,Travel,,avoided the pig who displced her,0,0
AJ,9/23/22,9:50:39 AM,Rebel,17,Y,Y,M,No Value,Pee,,,0,0
AJ,9/23/22,9:50:57 AM,Rebel,17,Y,Y,M,No Value,Nudge.ground ,,,0,0
AJ,9/23/22,9:51:29 AM,Rebel,17,Y,Y,M,No Value,Travel,,,0,0
AJ,9/23/22,9:51:54 AM,Rebel,17,Y,Y,M,No Value,Nudge.ground ,,,0,0
AJ,9/23/22,9:54:23 AM,Rebel,17,Y,Y,M,No Value,Wag.tail,,,0,0
AJ,9/23/22,10:00:06 AM,Eleanor,6,N,Y,F,No Value,Rest,,,1,0
AJ,9/23/22,10:02:23 AM,Eleanor,6,N,Y,F,No Value,Wag.tail,,,0,0
AJ,9/23/22,10:04:47 AM,Eleanor,6,N,Y,F,No Value,Rest,,,0,1
AJ,9/23/22,10:05:05 AM,Horatio,10,N,Y,M,No Value,Rest.proxim,,oreo pig not in study,1,0
AJ,9/23/22,10:10:10 AM,Horatio,10,N,Y,M,No Value,Rest,,,0,1
AJ,9/23/22,10:17:20 AM,Bates,2,N,Y,M,No Value,Rest,,,1,0
AJ,9/23/22,10:18:55 AM,Bates,2,N,Y,M,No Value,Travel,,,0,0
AJ,9/23/22,10:22:02 AM,Bates,2,N,Y,M,No Value,Grunt,,,0,0
AJ,9/23/22,10:22:26 AM,Bates,2,N,Y,M,No Value,Rest,,,0,1
AJ,9/23/22,11:36:27 AM,Wilbur,19,N,Y,M,No Value,Nudge.ground ,,,1,0
AJ,9/23/22,11:37:14 AM,Wilbur,19,N,Y,M,No Value,Wag.tail,,,0,0
AJ,9/23/22,11:41:54 AM,Wilbur,19,N,Y,M,No Value,Nudge.ground ,,,0,1
AJ,9/23/22,11:45:05 AM,Bianca,3,Y,Y,F,No Value,Nudge.ground ,,,1,0
AJ,9/23/22,11:45:16 AM,Bianca,3,Y,Y,F,No Value,Wag.tail,,,0,0
AJ,9/23/22,11:46:42 AM,Bianca,3,Y,Y,F,No Value,Travel,,,0,0
AJ,9/23/22,11:47:11 AM,Bianca,3,Y,Y,F,No Value,Poop,,,0,0
AJ,9/23/22,11:47:30 AM,Bianca,3,Y,Y,F,No Value,Travel,,,0,0
AJ,9/23/22,11:48:10 AM,Bianca,3,Y,Y,F,No Value,Other,,got in water puddle,0,0
AJ,9/23/22,11:48:33 AM,Bianca,3,Y,Y,F,No Value,Drink,,,0,0
AJ,9/23/22,11:50:04 AM,Bianca,3,Y,Y,F,No Value,Rest,,in water,0,1
AJ,9/30/22,9:29:21 AM,Georgie,8,Y,Y,F,No Value,Grunt,,,1,0
AJ,9/30/22,9:29:45 AM,Georgie,8,Y,Y,F,No Value,Yawn.not.contaig,,,0,0
AJ,9/30/22,9:30:30 AM,Georgie,8,Y,Y,F,No Value,Travel,,,0,0
AJ,9/30/22,9:31:48 AM,Georgie,8,Y,Y,F,No Value,Rest,,,0,0
AJ,9/30/22,9:33:14 AM,Georgie,8,Y,Y,F,No Value,Grunt,,,0,0
AJ,9/30/22,9:34:23 AM,Georgie,8,Y,Y,F,No Value,Rest,,,0,1
AJ,9/30/22,9:35:48 AM,Horatio,10,N,Y,M,No Value,Sniff.obj,,sniffing white pig with black head not in study,1,0
AJ,9/30/22,9:36:25 AM,Horatio,10,N,Y,M,No Value,Yawn.not.contaig,,,0,0
AJ,9/30/22,9:36:48 AM,Horatio,10,N,Y,M,No Value,Wag.tail,,,0,0
AJ,9/30/22,9:36:57 AM,Horatio,10,N,Y,M,No Value,Snout.touch,,all black pig not in study,0,0
AJ,9/30/22,9:38:52 AM,Horatio,10,N,Y,M,No Value,Travel,,,0,0
AJ,9/30/22,9:39:05 AM,Horatio,10,N,Y,M,No Value,Drink,,,0,0
AJ,9/30/22,9:40:00 AM,Horatio,10,N,Y,M,No Value,Nudge.ground ,,,0,0
AJ,9/30/22,9:40:29 AM,Horatio,10,N,Y,M,No Value,Travel,,,0,1
AJ,9/30/22,9:41:31 AM,Bates,2,N,Y,M,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,9:42:07 AM,Bates,2,N,Y,M,No Value,Wag.tail,,,0,0
AJ,9/30/22,9:44:03 AM,Bates,2,N,Y,M,No Value,Wag.tail,,,0,0
AJ,9/30/22,9:45:44 AM,Bates,2,N,Y,M,No Value,Travel,,,0,0
AJ,9/30/22,9:46:48 AM,Bates,2,N,Y,M,No Value,Nudge.ground ,,,0,1
AJ,9/30/22,9:47:19 AM,Thomas,18,N,Y,M,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,9:48:33 AM,Thomas,18,N,Y,M,No Value,Wag.tail,,,0,0
AJ,9/30/22,9:52:58 AM,Thomas,18,N,Y,M,Wilbur,Gets.disp,,,0,1
AJ,9/30/22,9:53:19 AM,Atlas,1,Y,Y,M,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,9:54:36 AM,Atlas,1,Y,Y,M,No Value,Travel,,,0,0
AJ,9/30/22,9:57:48 AM,Atlas,1,Y,Y,M,No Value,Poop,,,0,0
AJ,9/30/22,9:58:31 AM,Atlas,1,Y,Y,M,Bates,Attempt.disp,,,0,1
AJ,9/30/22,9:59:45 AM,Dora,5,Y,Y,F,No Value,Rest,,,1,0
AJ,9/30/22,10:01:41 AM,Dora,5,Y,Y,F,No Value,Nudge.ground ,,,0,0
AJ,9/30/22,10:05:04 AM,Dora,5,Y,Y,F,No Value,Nudge.ground ,,,0,1
AJ,9/30/22,10:05:40 AM,Rebel,17,Y,Y,M,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,10:05:52 AM,Rebel,17,Y,Y,M,No Value,Wag.tail,,,0,0
AJ,9/30/22,10:10:45 AM,Rebel,17,Y,Y,M,No Value,Nudge.ground ,,,0,1
AJ,9/30/22,10:13:42 AM,Imogen,11,N,Y,F,No Value,Wag.tail,,,1,0
AJ,9/30/22,10:14:27 AM,Imogen,11,N,Y,F,No Value,Nudge.ground ,,,0,0
AJ,9/30/22,10:14:48 AM,Imogen,11,N,Y,F,No Value,Rest,,,0,0
AJ,9/30/22,10:19:01 AM,Imogen,11,N,Y,F,No Value,Rest,,,0,1
AJ,9/30/22,10:19:45 AM,Wilbur,19,N,Y,M,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,10:20:40 AM,Wilbur,19,N,Y,M,No Value,Wag.tail,,,0,0
AJ,9/30/22,10:22:38 AM,Wilbur,19,N,Y,M,No Value,Travel,,,0,0
AJ,9/30/22,10:23:08 AM,Wilbur,19,N,Y,M,No Value,Rest,,,0,0
AJ,9/30/22,10:25:09 AM,Wilbur,19,N,Y,M,No Value,Rest,,,0,1
AJ,9/30/22,10:32:20 AM,Bianca,3,Y,Y,F,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,10:32:37 AM,Bianca,3,Y,Y,F,No Value,Grunt,,,0,0
AJ,9/30/22,10:32:47 AM,Bianca,3,Y,Y,F,No Value,Travel,,,0,0
AJ,9/30/22,10:36:38 AM,Bianca,3,Y,Y,F,No Value,Sniff.obj,,sniffing an oreo pig not in study,0,0
AJ,9/30/22,10:37:38 AM,Bianca,3,Y,Y,F,No Value,Wag.tail,,,0,1
AJ,9/30/22,10:38:32 AM,Eleanor,6,N,Y,F,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,10:38:58 AM,Eleanor,6,N,Y,F,No Value,Wag.tail,,,0,0
AJ,9/30/22,10:39:08 AM,Eleanor,6,N,Y,F,No Value,Other,,2 pigs sniffed her rear end. she didn’t react,0,0
AJ,9/30/22,10:39:27 AM,Eleanor,6,N,Y,F,No Value,Drink,,,0,0
AJ,9/30/22,10:41:30 AM,Eleanor,6,N,Y,F,No Value,Rest,,,0,0
AJ,9/30/22,10:43:51 AM,Eleanor,6,N,Y,F,No Value,Rest,,,0,1
AJ,10/7/22,9:25:51 AM,Dora,5,Y,Y,F,No Value,Pee,"30.014734,-97.307306",,1,0
